Reference, Value, Footprint, Datasheet
"R1","2k2","iBolit_daughter:R0805",""
"X1","VA-METER","iBolit_daughter:VA_METER",""
"X2","VA-METER","iBolit_daughter:VA_METER",""
"X3","VA-METER","iBolit_daughter:VA_METER",""
"DC1","VA-?S","iBolit_daughter:4SIL",""
"DC2","VA-?S","iBolit_daughter:4SIL",""
"JP2","JP5Q_CUSTOM","iBolit_daughter:JP5Q_CUSTOM",""
"JP3","JP4E_CUSTOM","iBolit_daughter:JP4_CUSTOM",""
"JP4","JP4E_CUSTOM","iBolit_daughter:JP4_CUSTOM",""
"JP5","JP4E_CUSTOM","iBolit_daughter:JP4_CUSTOM",""
"JP6","JP4E_CUSTOM","iBolit_daughter:JP4_CUSTOM",""
"JP7","JP4E_CUSTOM","iBolit_daughter:JP4_CUSTOM",""
"JP8","JP4E_CUSTOM","iBolit_daughter:JP4_CUSTOM",""
"C6","10-47uF","iBolit_daughter:C1210",""
"C7","10-47uF","iBolit_daughter:C1210",""
"C8","10-47uF","iBolit_daughter:C1210",""
"C9","10-47uF","iBolit_daughter:C1210",""
