Reference, Quantity, Value, Footprint, Datasheet
AR1 AR2 AR3 AR4 ,4,"R_Network08","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
AR5 AR6 AR7 AR8 ,4,"R_Network04","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
C1 C2 C3 C4 ,4,"100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
C5 ,1,"47uF/10v","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
CN1 ,1,"SLOTCONN","iBolit_main:MSX_SLOT_CON",""
CN2 ,1,"SLOTPLACEHOLDER","iBolit_main:MSX_SLOT_PLP",""
DZ1 ,1,"5.1v/1A","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
F1 F2 ,2,"0.5A","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
F3 F4 ,2,"50mA","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
IC1 IC2 IC3 IC4 ,4,"GAL22V10","MSXmakers:DIP-24c_W7.62mm_LongPads",""
J2 ,1,"StopNgo","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Horizontal",""
JP1 ,1,"JP5Q_CUSTOM","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Horizontal",""
LB1 ,1,"LEDBLOCK10","Display:HDSP-4832",""
LB2 LB3 ,2,"LEDBLOCK10","Display:HDSP-4830",""
LB4 ,1,"LEDBLOCK10","Display:HDSP-4850",""
LED1 ,1,"LED5MM","LED_THT:LED_Rectangular_W3.9mm_H1.8mm",""
R2 ,1,"1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
SJ1 ,1,"SJ","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal",""
